LinearSVC,,,,,,,,,,,,
,MI,AugmentedMI,NormalizedMI,TrueMI,CubicMI,DC,ModifiedDC,T-Score,Chi-Square,LLR,C-Value,result
1,+,+,+,+,+,+,+,+,+,+,+,0.281984606687
2,-,+,+,+,+,+,+,+,+,+,+,0.277494540612
3,+,+,+,+,+,+,+,+,+,+,-,0.246394553655
4,-,+,+,+,+,+,+,+,+,+,-,0.436482718193
5,-,-,-,+,+,-,-,-,-,+,-,0.320674660092
6,+,-,+,+,+,+,+,+,+,+,+,0.381840987453
7,-,-,-,-,+,-,-,-,-,-,-,0.522087626942
8,-,-,-,+,-,-,-,-,-,-,-,0.314761230683
9,-,-,-,+,+,-,-,-,-,-,-,0.359180625413
10,+,+,+,-,+,+,+,+,+,+,+,0.227276510297
11,+,-,-,+,+,+,+,+,+,+,+,0.461478999845
12,+,+,-,+,+,+,+,+,+,+,+,0.326668950113
13,+,+,+,+,-,+,+,+,+,+,+,0.228646758008
14,+,+,+,+,+,-,+,+,+,+,+,0.281984297782
15,+,+,+,+,+,+,-,+,+,+,+,0.281971928565
16,+,+,+,+,+,+,+,-,+,+,+,0.287371712458
17,+,+,+,+,+,+,+,+,-,+,+,0.281984601608
18,+,+,+,+,+,+,+,+,+,-,+,0.406766389589
19,+,+,-,+,+,-,-,+,-,+,+,0.326663485763
20,-,-,+,-,+,-,-,-,-,-,-,0.521891792937
21,-,-,-,-,+,+,-,-,-,-,-,0.524034206079
22,-,-,-,-,+,-,+,-,-,-,-,0.522648437719
23,-,-,-,-,+,-,-,-,+,-,-,0.523046829661
24,+,-,-,-,+,-,-,-,-,-,-,0.520639722683
25,-,+,-,-,+,-,-,-,-,-,-,0.521028824767
26,-,-,-,-,+,-,-,+,-,-,-,0.488234068992
27,-,-,-,-,+,-,-,-,-,+,-,0.26943124552
28,-,-,-,-,+,-,-,-,-,-,+,0.389330031059
29,-,-,-,-,-,-,-,-,-,-,+,0.196136246906
30,-,-,-,-,-,+,-,-,-,-,-,0.477157718725
31,+,-,-,-,-,-,-,-,-,-,-,0.439268734288
32,-,+,-,-,-,-,-,-,-,-,-,0.448728421357
33,-,-,+,-,-,-,-,-,-,-,-,0.474537020465
34,-,-,-,-,-,-,+,-,-,-,-,0.487248404637
35,-,-,-,-,-,-,-,+,-,-,-,0.458158214788
36,-,-,-,-,-,-,-,-,+,-,-,0.498512755813
37,-,-,-,-,-,-,-,-,-,+,-,0.267094330218
38,+,+,+,-,-,-,-,-,-,-,-,0.527973943312
39,+,+,-,-,-,-,-,-,-,-,-,0.452037588688
40,+,-,+,-,-,-,-,-,-,-,-,0.527610877706
41,-,+,+,-,-,-,-,-,-,-,-,0.505215612778
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
66,,,,,,,,,,,,
67,,,,,,,,,,,,
68,,,,,,,,,,,,
69,,,,,,,,,,,,
70,,,,,,,,,,,,
71,,,,,,,,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,,,,,,,,
75,,,,,,,,,,,,
76,,,,,,,,,,,,
77,,,,,,,,,,,,
78,,,,,,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,,,,,,,,,,,,
83,,,,,,,,,,,,
84,,,,,,,,,,,,
85,,,,,,,,,,,,
86,,,,,,,,,,,,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,,,
97,,,,,,,,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,,,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,,,,,,,,
111,,,,,,,,,,,,
112,,,,,,,,,,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,,,,,,,,
119,,,,,,,,,,,,
120,,,,,,,,,,,,
121,,,,,,,,,,,,
122,,,,,,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,,,,,,
126,,,,,,,,,,,,
127,,,,,,,,,,,,
128,,,,,,,,,,,,
129,,,,,,,,,,,,
130,,,,,,,,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,,,,,,
134,,,,,,,,,,,,
135,,,,,,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,,,,,,
145,,,,,,,,,,,,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,,,,,,,,
153,,,,,,,,,,,,
154,,,,,,,,,,,,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,,
162,,,,,,,,,,,,
